"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
49,"void rocprim::detail::block_reduce_kernel<true, rocprim::detail::default_reduce_config<0u, int>, int, int*, int*, int, hipcub::detail::convert_result_type_wrapper<int*, int*, hipcub::Sum> >(int*, unsigned long, int*, int, hipcub::detail::convert_result_type_wrapper<int*, int*, hipcub::Sum>) [clone .kd]",0,0,96,49476,49503,256,256,512,0,48,64,13696,0x0,0x7efcbf7dc040,429238055746198,429238055760174,429238055771374,429238055775673,11200
50,"__amd_rocclr_fillBuffer.kd",0,0,98,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238055821590,429238055832798,429238055838078,429238055841769,5280
51,"__amd_rocclr_fillBuffer.kd",0,0,100,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238055906731,429238055918473,429238055924553,429238055928633,6080
52,"__amd_rocclr_fillBuffer.kd",0,0,102,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238055944292,429238055955030,429238055960150,429238055963909,5120
53,"__amd_rocclr_fillBuffer.kd",0,0,104,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238055980000,429238055991208,429238055996328,429238056000108,5120
54,"__amd_rocclr_fillBuffer.kd",0,0,106,49476,49503,47360,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056014796,429238056024804,429238056031524,429238056035294,6720
55,"__amd_rocclr_fillBuffer.kd",0,0,108,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056048389,429238056058805,429238056063765,429238056067525,4960
56,"__amd_rocclr_fillBuffer.kd",0,0,110,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056079748,429238056090145,429238056095105,429238056098855,4960
57,"__amd_rocclr_fillBuffer.kd",0,0,112,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056111007,429238056120953,429238056126073,429238056129833,5120
58,"__amd_rocclr_fillBuffer.kd",0,0,114,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056142517,429238056152814,429238056158094,429238056161673,5280
59,"__amd_rocclr_fillBuffer.kd",0,0,116,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056174387,429238056184403,429238056189363,429238056193123,4960
60,"__amd_rocclr_fillBuffer.kd",0,0,118,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056205015,429238056215192,429238056220312,429238056224081,5120
61,"__amd_rocclr_fillBuffer.kd",0,0,120,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056236254,429238056246480,429238056251440,429238056255190,4960
62,"__amd_rocclr_fillBuffer.kd",0,0,122,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056267583,429238056277670,429238056282790,429238056286549,5120
63,"__amd_rocclr_fillBuffer.kd",0,0,124,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056300255,429238056310341,429238056315301,429238056319071,4960
64,"__amd_rocclr_fillBuffer.kd",0,0,126,49476,49503,15872,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238056331023,429238056341039,429238056346159,429238056349919,5120
